Condominium Number,Property Address,Roll Number,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
86,2 ABERCORN GROVE,1004817100,2017,8,"$165,000","$167,300"
86,10 ABERCORN GROVE,1004817900,2016,12,"$175,000","$180,300"
86,11 ABERCORN GROVE,1004818000,2016,8,"$184,000","$190,100"
86,18 ABERCORN GROVE,1004818700,2017,12,"$185,000","$186,100"
86,19 ABERCORN GROVE,1004818800,2016,7,"$190,000","$195,900"
580,301 - 85 ACADEMY RD,12097694400,2016,6,"$635,000","$643,300"
580,303 - 85 ACADEMY RD,12097694300,2016,9,"$350,000","$355,600"
580,401 - 85 ACADEMY RD,12097694600,2016,1,"$620,000","$625,000"
580,401 - 85 ACADEMY RD,12097694600,2017,4,"$620,000","$626,800"
475,B - 207 ACADEMY RD,12097548800,2017,5,"$295,000","$300,900"
284,2 - 228 ACADEMY RD,12040776300,2016,6,"$333,000","$343,000"
937,1 - 232 ACADEMY RD,12097804660,2016,5,"$459,900","$465,400"
937,4 - 232 ACADEMY RD,12097804665,2016,3,"$479,900","$484,700"
29,11 - 595 ADSUM DR,5005364700,2016,6,"$200,000","$206,000"
29,29 - 595 ADSUM DR,5005366500,2017,11,"$185,000","$186,500"
29,32 - 595 ADSUM DR,5005366800,2016,11,"$165,000","$170,400"
29,9 - 595 ADSUM DR,5005364500,2016,12,"$210,000","$216,300"
610,112 - 835 ADSUM DR,14100033100,2017,4,"$217,000","$219,400"
610,217 - 835 ADSUM DR,14100036200,2016,8,"$235,000","$238,500"
531,201 - 1000 ALDGATE RD,8021086300,2016,8,"$293,500","$303,200"
531,203 - 1000 ALDGATE RD,8021086500,2017,10,"$262,500","$265,100"
531,206 - 1000 ALDGATE RD,8021086800,2017,8,"$255,000","$258,600"
531,303 - 1000 ALDGATE RD,8021086000,2017,11,"$255,000","$257,000"
531,401 - 1000 ALDGATE RD,8021083400,2016,9,"$285,000","$294,700"
531,404 - 1000 ALDGATE RD,8021083100,2017,8,"$259,800","$263,400"
531,603 - 1000 ALDGATE RD,8021082400,2016,6,"$270,000","$278,100"
862,1 - 358 ALEXANDER AVE,13099068815,2017,9,"$195,000","$197,300"
862,1 - 358 ALEXANDER AVE,13099068815,2018,3,"$195,000","$195,000"
862,2 - 358 ALEXANDER AVE,13099068820,2018,1,"$192,000","$192,800"
890,105 - 700 ALLEGHENY DR,3092984080,2016,2,"$275,000","$277,500"
890,106 - 700 ALLEGHENY DR,3092984085,2017,11,"$247,000","$248,000"
890,206 - 700 ALLEGHENY DR,3092984135,2017,10,"$278,000","$279,400"
890,207 - 700 ALLEGHENY DR,3092984140,2016,7,"$277,000","$280,900"
890,209 - 700 ALLEGHENY DR,3092984150,2017,8,"$265,000","$266,900"
890,301 - 700 ALLEGHENY DR,3092984160,2016,3,"$285,000","$287,900"
890,405 - 700 ALLEGHENY DR,3092984230,2016,11,"$332,500","$337,800"
890,408 - 700 ALLEGHENY DR,3092984245,2017,10,"$255,000","$256,300"
633,4 - 854 ALVERSTONE ST,13096171900,2017,5,"$165,000","$166,700"
782,1 - 250 AMBER TRAIL,5009413100,2016,4,"$345,900","$355,600"
782,25 - 250 AMBER TRAIL,5009415500,2017,9,"$374,000","$378,500"
897,1002 - 280 AMBER TRAIL,5009424070,2016,10,"$249,900","$258,600"
897,1003 - 280 AMBER TRAIL,5009424065,2016,4,"$215,000","$221,000"
897,1003 - 280 AMBER TRAIL,5009424065,2016,6,"$230,000","$236,900"
897,105 - 280 AMBER TRAIL,5009423645,2017,10,"$240,000","$242,400"
897,302 - 280 AMBER TRAIL,5009423715,2016,11,"$246,900","$255,000"
897,306 - 280 AMBER TRAIL,5009423725,2017,5,"$241,000","$245,800"
897,403 - 280 AMBER TRAIL,5009423750,2017,10,"$235,000","$237,400"
897,404 - 280 AMBER TRAIL,5009423745,2016,10,"$249,900","$258,600"
897,505 - 280 AMBER TRAIL,5009423800,2016,6,"$249,000","$256,500"
897,506 - 280 AMBER TRAIL,5009423795,2017,6,"$260,000","$264,700"
897,512 - 280 AMBER TRAIL,5009423835,2017,7,"$261,900","$266,100"
897,605 - 280 AMBER TRAIL,5009423870,2017,5,"$260,000","$265,200"
897,701 - 280 AMBER TRAIL,5009423950,2016,1,"$275,120","$282,000"
897,702 - 280 AMBER TRAIL,5009423945,2016,2,"$244,900","$251,300"
897,703 - 280 AMBER TRAIL,5009423940,2016,5,"$249,900","$257,100"
897,704 - 280 AMBER TRAIL,5009423935,2016,4,"$244,900","$251,800"
897,705 - 280 AMBER TRAIL,5009423930,2016,4,"$259,900","$267,200"
897,707 - 280 AMBER TRAIL,5009423970,2016,3,"$247,900","$254,600"
897,708 - 280 AMBER TRAIL,5009423965,2016,3,"$234,417","$240,700"
897,709 - 280 AMBER TRAIL,5009423960,2016,2,"$244,255","$250,600"
897,710 - 280 AMBER TRAIL,5009423955,2016,1,"$269,775","$276,500"
897,801 - 280 AMBER TRAIL,5009423995,2016,3,"$261,625","$268,700"
897,802 - 280 AMBER TRAIL,5009423990,2016,4,"$212,000","$217,900"
897,803 - 280 AMBER TRAIL,5009423985,2016,1,"$223,088","$228,700"
897,806 - 280 AMBER TRAIL,5009424010,2016,3,"$233,400","$239,700"
897,807 - 280 AMBER TRAIL,5009424005,2016,4,"$223,127","$229,400"
897,808 - 280 AMBER TRAIL,5009424000,2016,2,"$252,900","$259,500"
