Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
221 BOWMAN AVE,2000169000,OS-ONE STOREY,2016,6,"$155,000","$160,000"
222 BOWMAN AVE,2000250000,OS-ONE STOREY,2017,9,"$187,000","$188,700"
233 BOWMAN AVE,2000173000,O3-ONE & 3/4 STOREY,2017,7,"$165,000","$167,000"
235 BOWMAN AVE,2000174000,OS-ONE STOREY,2017,8,"$165,000","$166,700"
240 BOWMAN AVE,2000246000,OS-ONE STOREY,2016,7,"$83,000","$85,500"
260 BOWMAN AVE,2000240000,BL-BI-LEVEL,2017,6,"$274,000","$277,600"
274 BOWMAN AVE,2000236000,OS-ONE STOREY,2016,4,"$221,000","$228,700"
284 BOWMAN AVE,2000233000,OS-ONE STOREY,2017,5,"$175,000","$177,600"
295 BOWMAN AVE,2000191000,OH-ONE & 1/2 STOREY,2016,1,"$205,000","$213,000"
296 BOWMAN AVE,2000227500,OH-ONE & 1/2 STOREY,2017,6,"$210,000","$212,700"
311 BOWMAN AVE,2000197000,O3-ONE & 3/4 STOREY,2016,1,"$177,000","$183,900"
314 BOWMAN AVE,2000223000,OS-ONE STOREY,2017,7,"$158,000","$159,900"
331 BOWMAN AVE,2000203000,OH-ONE & 1/2 STOREY,2018,1,"$176,000","$176,500"
333 BOWMAN AVE,2062807565,TS-TWO STOREY,2017,5,"$293,000","$297,400"
335 BOWMAN AVE,2062807570,TS-TWO STOREY,2016,10,"$184,000","$188,600"
339 BOWMAN AVE,2000206000,O3-ONE & 3/4 STOREY,2017,10,"$230,000","$231,600"
346 BOWMAN AVE,2000213000,OS-ONE STOREY,2017,3,"$155,000","$157,800"
348 BOWMAN AVE,2000212000,OH-ONE & 1/2 STOREY,2016,2,"$178,000","$184,800"
367 BOWMAN AVE,2000275000,OS-ONE STOREY,2017,6,"$155,000","$157,000"
384 BOWMAN AVE,2000292000,OS-ONE STOREY,2017,3,"$162,000","$164,900"
469 BOWMAN AVE,2040157000,OS-ONE STOREY,2017,3,"$81,000","$82,500"
469 BOWMAN AVE,2040157000,OS-ONE STOREY,2017,8,"$122,500","$123,700"
478 BOWMAN AVE,2040187000,TS-TWO STOREY,2017,6,"$222,000","$224,900"
483 BOWMAN AVE,2040163000,BL-BI-LEVEL,2017,6,"$294,000","$297,800"
487 BOWMAN AVE,2040164000,OH-ONE & 1/2 STOREY,2017,5,"$144,000","$146,200"
504 BOWMAN AVE,2040177000,OH-ONE & 1/2 STOREY,2017,2,"$206,500","$210,400"
507 BOWMAN AVE,2040171000,OS-ONE STOREY,2017,5,"$111,500","$113,200"
559 BOWMAN AVE,2040225000,OS-ONE STOREY,2017,11,"$250,000","$251,500"
565 BOWMAN AVE,2040226000,TS-TWO STOREY,2017,12,"$280,038.70","$281,200"
566 BOWMAN AVE,2040234000,TS-TWO STOREY,2016,11,"$293,000","$300,000"
138 BRAZIER ST,14090161100,OS-ONE STOREY,2016,11,"$170,000","$174,100"
189 CHALMERS AVE,14081937000,OS-ONE STOREY,2017,5,"$195,000","$197,900"
198 CHALMERS AVE,14081963000,TH-TWO & 1/2 STOREY,2016,3,"$230,000","$238,300"
210 CHALMERS AVE,14081967000,OH-ONE & 1/2 STOREY,2016,6,"$142,500","$147,100"
246 CHALMERS AVE,14081972000,OS-ONE STOREY,2017,1,"$162,500","$165,900"
247 CHALMERS AVE,14082061000,OH-ONE & 1/2 STOREY,2016,8,"$220,000","$226,200"
248 CHALMERS AVE,14081973000,OS-ONE STOREY,2016,7,"$180,000","$185,400"
258 CHALMERS AVE,14081977000,OS-ONE STOREY,2016,4,"$179,000","$185,300"
259 CHALMERS AVE,14082056000,O3-ONE & 3/4 STOREY,2017,8,"$170,000","$171,700"
292 CHALMERS AVE,14081998000,OH-ONE & 1/2 STOREY,2017,9,"$172,000","$173,500"
306 CHALMERS AVE,14082003100,TS-TWO STOREY,2016,4,"$300,000","$310,500"
315 CHALMERS AVE,14082038000,BL-BI-LEVEL,2016,5,"$305,000","$315,100"
336 CHALMERS AVE,14100075700,TS-TWO STOREY,2017,11,"$183,350","$184,500"
338 CHALMERS AVE,14100075800,TS-TWO STOREY,2017,11,"$183,350","$184,500"
399 CHALMERS AVE,14082120000,BL-BI-LEVEL,2017,5,"$190,000","$192,900"
224 DEARBORN AVE,14090191000,OS-ONE STOREY,2016,5,"$135,000","$139,500"
228 DEARBORN AVE,14090189000,TS-TWO STOREY,2016,5,"$227,713.10","$235,200"
439 DESALABERRY AVE,14093026100,TS-TWO STOREY,2016,12,"$130,000","$132,900"
161 GORDON AVE,14083571100,O3-ONE & 3/4 STOREY,2016,12,"$162,500","$166,100"
173 GORDON AVE,14083575000,TS-TWO STOREY,2017,6,"$250,444","$253,700"
