Property Address,Roll Number,Building Type,Sale Year,Sale Month,Sale Price,Time Adjust Sale Price
51 ATLANTIC AVE,14061044000,OH-One & 1/2 Storey,2019,7,"$180,000","$196,400"
103 ATLANTIC AVE,14061197000,O3-One & 3/4 Storey,2019,8,"$225,000","$245,000"
111 ATLANTIC AVE,14061201000,OH-One & 1/2 Storey,2019,4,"$210,000","$230,400"
131 ATLANTIC AVE,14061209000,OH-One & 1/2 Storey,2021,3,"$107,000","$107,000"
147 ATLANTIC AVE,14061214000,O3-One & 3/4 Storey,2019,2,"$125,000","$137,600"
155 ATLANTIC AVE,14061216000,OH-One & 1/2 Storey,2021,1,"$154,000","$155,800"
9 BANNERMAN AVE,14060034000,TS-Two Storey,2019,10,"$253,000","$274,500"
11 BANNERMAN AVE,14060033000,TS-Two Storey,2020,4,"$270,900","$289,600"
20 BANNERMAN AVE,14060053000,OH-One & 1/2 Storey,2019,8,"$280,000","$304,900"
28 BANNERMAN AVE,14060050000,TS-Two Storey,2020,2,"$120,000","$129,400"
68 BANNERMAN AVE,14060078000,OH-One & 1/2 Storey,2020,5,"$263,900","$280,500"
79 BANNERMAN AVE,14060103000,OH-One & 1/2 Storey,2020,9,"$262,079","$271,800"
88 BANNERMAN AVE,14060075000,OH-One & 1/2 Storey,2019,11,"$287,500","$311,400"
95 BANNERMAN AVE,14060101000,TS-Two Storey,2019,10,"$242,000","$262,600"
110 BANNERMAN AVE,14060064000,TS-Two Storey,2020,11,"$355,000","$363,900"
117 BANNERMAN AVE,14060088000,O3-One & 3/4 Storey,2021,1,"$212,000","$214,500"
127 BANNERMAN AVE,14060084000,TS-Two Storey,2019,7,"$282,500","$308,200"
139 BANNERMAN AVE,14060133000,TH-Two & 1/2 Storey,2021,2,"$246,000","$247,500"
144 BANNERMAN AVE,14100129350,BL-Bi-Level,2019,6,"$297,700","$325,400"
158 BANNERMAN AVE,14060149000,TS-Two Storey,2020,6,"$242,000","$255,600"
53 CATHEDRAL AVE,14052603000,TH-Two & 1/2 Storey,2021,2,"$312,000","$313,900"
61 CATHEDRAL AVE,14052598000,TH-Two & 1/2 Storey,2020,8,"$285,000","$297,500"
15 INKSTER BLVD,14070318000,TS-Two Storey,2019,8,"$185,000","$201,500"
63 INKSTER BLVD,14070343000,TH-Two & 1/2 Storey,2021,2,"$270,000","$271,600"
94 INKSTER BLVD,14070132000,OH-One & 1/2 Storey,2019,11,"$180,000","$194,900"
113 INKSTER BLVD,14070199000,TS-Two Storey,2020,8,"$205,000","$214,000"
1141/2 INKSTER BLVD,14070122000,OS-One Storey,2020,5,"$193,000","$205,200"
117 INKSTER BLVD,14070201000,O3-One & 3/4 Storey,2020,10,"$157,000","$161,900"
